fecha,producto_id,cantidad_vendida,precio,stock_actual,nombre_producto,categoria,marca,descuento_porcentaje,clima_predominante,costo_envio
2025-06-23,PROD-103,8,85.5,156,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,4.37
2025-06-23,PROD-104,12,15.0,81,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.98
2025-06-23,PROD-105,8,250.0,92,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.87
2025-06-23,PROD-106,13,199.9,93,Silla Gamer,Muebles,SecretLab,0,Calor,6.78
2025-06-24,PROD-101,28,899.99,129,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.04
2025-06-24,PROD-102,56,120.0,52,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.96
2025-06-24,PROD-103,9,85.5,147,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,4.16
2025-06-24,PROD-104,14,15.0,67,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.54
2025-06-24,PROD-105,8,250.0,84,Cafetera Espresso,Hogar,DeLonghi,0,Calor,2.51
2025-06-24,PROD-106,15,199.9,78,Silla Gamer,Muebles,SecretLab,0,Calor,3.58
2025-06-25,PROD-101,36,629.99,93,Smartphone Galaxy,Electrónica,Samsung,30,Calor,5.99
2025-06-25,PROD-102,48,120.0,4,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.09
2025-06-25,PROD-103,15,85.5,132,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.65
2025-06-25,PROD-104,13,15.0,54,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,4.4
2025-06-25,PROD-105,10,250.0,74,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.03
2025-06-25,PROD-106,16,159.92,62,Silla Gamer,Muebles,SecretLab,20,Calor,9.13
2025-06-26,PROD-101,31,899.99,62,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.22
2025-06-26,PROD-102,41,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,4.98
2025-06-26,PROD-103,7,85.5,125,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,6.8
2025-06-26,PROD-104,14,10.5,40,Protector Solar FPS50,Salud y Belleza,Nivea,30,Calor,2.96
2025-06-26,PROD-105,8,250.0,66,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.68
2025-06-26,PROD-106,15,199.9,47,Silla Gamer,Muebles,SecretLab,0,Calor,8.95
2025-06-27,PROD-101,25,899.99,37,Smartphone Galaxy,Electrónica,Samsung,0,Calor,2.22
2025-06-27,PROD-102,28,84.0,0,Zapatillas Running,Ropa y Calzado,Nike,30,Calor,2.32
2025-06-27,PROD-103,10,85.5,115,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,5.1
2025-06-27,PROD-104,12,15.0,28,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.17
2025-06-27,PROD-105,8,250.0,58,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.75
2025-06-27,PROD-106,18,199.9,29,Silla Gamer,Muebles,SecretLab,0,Calor,2.96
2025-06-28,PROD-101,31,899.99,6,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.71
2025-06-28,PROD-102,56,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,6.55
2025-06-28,PROD-103,11,59.85,104,Chaqueta Invierno,Ropa y Calzado,NorthFace,30,Calor,2.22
2025-06-28,PROD-104,16,15.0,12,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,4.38
2025-06-28,PROD-105,11,250.0,47,Cafetera Espresso,Hogar,DeLonghi,0,Calor,2.69
2025-06-28,PROD-106,20,199.9,9,Silla Gamer,Muebles,SecretLab,0,Calor,6.04
2025-06-29,PROD-101,43,899.99,0,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.67
2025-06-29,PROD-102,62,108.0,0,Zapatillas Running,Ropa y Calzado,Nike,10,Calor,3.79
2025-06-29,PROD-103,14,85.5,90,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.18
2025-06-29,PROD-104,16,15.0,0,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.65
2025-06-29,PROD-105,13,250.0,34,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.96
2025-06-29,PROD-106,14,179.91,0,Silla Gamer,Muebles,SecretLab,10,Calor,9.34
2025-06-30,PROD-101,28,899.99,184,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.82
2025-06-30,PROD-102,58,96.0,189,Zapatillas Running,Ropa y Calzado,Nike,20,Calor,6.9
2025-06-30,PROD-103,11,85.5,79,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.0
2025-06-30,PROD-104,12,15.0,129,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,8.17
2025-06-30,PROD-105,9,250.0,199,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.52
2025-06-30,PROD-106,13,199.9,153,Silla Gamer,Muebles,SecretLab,0,Calor,6.52
2025-07-01,PROD-101,29,899.99,155,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.32
2025-07-01,PROD-102,29,120.0,160,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,6.18
2025-07-01,PROD-103,7,85.5,72,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.72
2025-07-01,PROD-104,10,15.0,119,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.12
2025-07-01,PROD-105,11,250.0,188,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.85
2025-07-01,PROD-106,9,179.91,144,Silla Gamer,Muebles,SecretLab,10,Calor,8.17
2025-07-02,PROD-101,24,899.99,131,Smartphone Galaxy,Electrónica,Samsung,0,Calor,4.12
2025-07-02,PROD-102,35,120.0,125,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,8.47
2025-07-02,PROD-103,8,85.5,64,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,3.46
2025-07-02,PROD-104,13,15.0,106,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.65
2025-07-02,PROD-105,7,250.0,181,Cafetera Espresso,Hogar,DeLonghi,0,Calor,9.92
2025-07-02,PROD-106,22,159.92,122,Silla Gamer,Muebles,SecretLab,20,Calor,5.43
2025-07-03,PROD-101,21,899.99,110,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.91
2025-07-03,PROD-102,42,120.0,83,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,4.29
2025-07-03,PROD-103,7,68.4,57,Chaqueta Invierno,Ropa y Calzado,NorthFace,20,Calor,6.77
2025-07-03,PROD-104,12,15.0,94,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,3.78
2025-07-03,PROD-105,5,250.0,176,Cafetera Espresso,Hogar,DeLonghi,0,Calor,7.51
2025-07-03,PROD-106,12,199.9,110,Silla Gamer,Muebles,SecretLab,0,Calor,7.46
2025-07-04,PROD-101,22,899.99,88,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.08
2025-07-04,PROD-102,11,120.0,72,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,7.94
2025-07-04,PROD-103,7,85.5,50,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,5.71
2025-07-04,PROD-104,11,15.0,83,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.03
2025-07-04,PROD-105,7,250.0,169,Cafetera Espresso,Hogar,DeLonghi,0,Calor,5.74
2025-07-04,PROD-106,16,199.9,94,Silla Gamer,Muebles,SecretLab,0,Calor,4.61
2025-07-05,PROD-101,35,899.99,53,Smartphone Galaxy,Electrónica,Samsung,0,Calor,5.84
2025-07-05,PROD-102,49,84.0,23,Zapatillas Running,Ropa y Calzado,Nike,30,Calor,2.4
2025-07-05,PROD-103,16,85.5,34,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.63
2025-07-05,PROD-104,15,15.0,68,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,5.95
2025-07-05,PROD-105,9,250.0,160,Cafetera Espresso,Hogar,DeLonghi,0,Calor,3.48
2025-07-05,PROD-106,19,199.9,75,Silla Gamer,Muebles,SecretLab,0,Calor,7.33
2025-07-06,PROD-101,30,899.99,23,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.14
2025-07-06,PROD-102,57,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,5.1
2025-07-06,PROD-103,12,85.5,22,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.49
2025-07-06,PROD-104,14,15.0,54,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.05
2025-07-06,PROD-105,7,225.0,153,Cafetera Espresso,Hogar,DeLonghi,10,Calor,3.39
2025-07-06,PROD-106,21,199.9,54,Silla Gamer,Muebles,SecretLab,0,Calor,2.94
2025-07-07,PROD-101,29,899.99,183,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.52
2025-07-07,PROD-102,50,120.0,190,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.08
2025-07-07,PROD-103,9,85.5,209,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.1
2025-07-07,PROD-104,13,15.0,230,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,4.25
2025-07-07,PROD-105,11,250.0,142,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.85
2025-07-07,PROD-106,22,179.91,134,Silla Gamer,Muebles,SecretLab,10,Calor,2.87
2025-07-08,PROD-101,28,899.99,155,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.33
2025-07-08,PROD-102,15,120.0,175,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.65
2025-07-08,PROD-103,11,85.5,198,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,3.45
2025-07-08,PROD-104,11,15.0,219,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,4.57
2025-07-08,PROD-105,9,250.0,133,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.5
2025-07-08,PROD-106,13,199.9,121,Silla Gamer,Muebles,SecretLab,0,Calor,3.15
2025-07-09,PROD-101,29,809.99,126,Smartphone Galaxy,Electrónica,Samsung,10,Calor,7.81
2025-07-09,PROD-102,49,120.0,126,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,8.35
2025-07-09,PROD-103,6,85.5,192,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,2.0
2025-07-09,PROD-104,12,15.0,207,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,3.98
2025-07-09,PROD-105,6,250.0,127,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.64
2025-07-09,PROD-106,12,199.9,109,Silla Gamer,Muebles,SecretLab,0,Calor,2.1
2025-07-10,PROD-101,29,809.99,97,Smartphone Galaxy,Electrónica,Samsung,10,Calor,8.84
2025-07-10,PROD-102,30,120.0,96,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,2.2
2025-07-10,PROD-103,11,85.5,181,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,4.42
2025-07-10,PROD-104,12,13.5,195,Protector Solar FPS50,Salud y Belleza,Nivea,10,Calor,8.79
2025-07-10,PROD-105,7,200.0,120,Cafetera Espresso,Hogar,DeLonghi,20,Calor,2.39
2025-07-10,PROD-106,13,199.9,96,Silla Gamer,Muebles,SecretLab,0,Calor,6.94
2025-07-11,PROD-101,31,899.99,66,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.48
2025-07-11,PROD-102,51,96.0,45,Zapatillas Running,Ropa y Calzado,Nike,20,Calor,4.26
2025-07-11,PROD-103,9,85.5,172,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,4.61
2025-07-11,PROD-104,13,15.0,182,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.6
2025-07-11,PROD-105,6,250.0,114,Cafetera Espresso,Hogar,DeLonghi,0,Calor,9.85
2025-07-11,PROD-106,18,199.9,78,Silla Gamer,Muebles,SecretLab,0,Calor,7.53
2025-07-12,PROD-101,31,899.99,35,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.95
2025-07-12,PROD-102,40,120.0,5,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.97
2025-07-12,PROD-103,15,68.4,157,Chaqueta Invierno,Ropa y Calzado,NorthFace,20,Calor,2.48
2025-07-12,PROD-104,15,15.0,167,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.38
2025-07-12,PROD-105,10,200.0,104,Cafetera Espresso,Hogar,DeLonghi,20,Calor,9.44
2025-07-12,PROD-106,17,199.9,61,Silla Gamer,Muebles,SecretLab,0,Calor,9.84
2025-07-13,PROD-101,36,719.99,0,Smartphone Galaxy,Electrónica,Samsung,20,Calor,6.27
2025-07-13,PROD-102,63,108.0,0,Zapatillas Running,Ropa y Calzado,Nike,10,Calor,6.0
2025-07-13,PROD-103,12,68.4,145,Chaqueta Invierno,Ropa y Calzado,NorthFace,20,Calor,4.46
2025-07-13,PROD-104,22,10.5,145,Protector Solar FPS50,Salud y Belleza,Nivea,30,Calor,4.77
